Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,TimeControl,EndTime,Termination,first_move,number_of_moves,white_time_taken,black_time_taken,GameResult
Live Chess,Chess.com,2022-12-28,-,lethenoob,chandurohitheee,0-1,1121,1247,600,0:09:27 PST,chandurohitheee won by checkmate,d4-Nc6,26,00:05:36,00:03:59,won
Live Chess,Chess.com,2022-12-27,-,chandurohitheee,Orxan6060,1-0,1234,1197,600,8:22:01 PST,chandurohitheee won by checkmate,e4-d5,35,00:04:10,00:03:51,won
Live Chess,Chess.com,2022-12-27,-,Maritox2311,chandurohitheee,1/2-1/2,1138,1227,600,7:03:01 PST,Game drawn - insufficient material,e4-e5,43,00:05:53,00:03:13,draw
Live Chess,Chess.com,2022-12-27,-,kolya1771,chandurohitheee,1-0,1283,1229,600,6:53:15 PST,kolya1771 won by resignation,e4-e5,40,00:04:13,00:05:07,loss
Live Chess,Chess.com,2022-12-27,-,chandurohitheee,mykhailonemyr1,1/2-1/2,1236,1235,600,6:37:37 PST,Game drawn - insufficient material,e4-e5,54,00:07:01,00:05:06,draw
Live Chess,Chess.com,2022-12-27,-,chandurohitheee,sandeep178,0-1,1236,1233,600,4:33:22 PST,sandeep178 won by resignation,e4-e6,1,00:00,00:00:02,loss
Live Chess,Chess.com,2022-12-27,-,jonathangviana,chandurohitheee,0-1,1260,1245,600,17:51:46 PST,chandurohitheee won by resignation,d4-d5,12,00:00:32,00:00:41,won
Live Chess,Chess.com,2022-12-27,-,chandurohitheee,jimmy_006,1-0,1236,1197,600,17:22:04 PST,chandurohitheee won by resignation,e4-c5,17,00:01:21,00:02:25,won
Live Chess,Chess.com,2022-12-27,-,chandurohitheee,flopps15,1-0,1229,1284,600,17:17:42 PST,chandurohitheee won - game abandoned,e4-d5,24,00:02:07,00:02:17,won
Live Chess,Chess.com,2022-12-27,-,sashkoooo36788,chandurohitheee,0-1,1176,1241,600,10:22:11 PST,chandurohitheee won by resignation,e4-e5,17,00:01:46,00:01:59,won
Live Chess,Chess.com,2022-12-26,-,chandurohitheee,JanAizen,1-0,1219,1160,600,5:26:05 PST,chandurohitheee won by checkmate,e4-e5,40,00:03:58,00:06:46,won
Live Chess,Chess.com,2022-12-26,-,unknowntiger147,chandurohitheee,1-0,1217,1210,600,2:19:16 PST,unknowntiger147 won by checkmate,e4-e5,49,00:06:55,00:09:51,loss
Live Chess,Chess.com,2022-12-26,-,chandurohitheee,extreme29,0-1,1226,1330,600,23:36:57 PST,extreme29 won by checkmate,e4-c5,56,00:03:40,00:03:02,loss
Live Chess,Chess.com,2022-12-26,-,Konan9757553411,chandurohitheee,0-1,1187,1232,600,21:58:50 PST,chandurohitheee won by checkmate,e4-e5,21,00:01:53,00:06:02,won
Live Chess,Chess.com,2022-12-26,-,Elzota,chandurohitheee,1-0,1215,1225,600,21:34:39 PST,Elzota won by resignation,e4-e5,22,00:03:28,00:01:58,loss
Live Chess,Chess.com,2022-12-26,-,aanbeesee,chandurohitheee,0-1,1261,1234,600,21:24:18 PST,chandurohitheee won by resignation,e4-e5,23,00:02:27,00:02:23,won
Live Chess,Chess.com,2022-12-26,-,chandurohitheee,BatS81,0-1,1225,1238,600,20:41:48 PST,BatS81 won by checkmate,e4-b6,63,00:04:07,00:04:28,loss
Live Chess,Chess.com,2022-12-26,-,chandurohitheee,James_622,1-0,1233,1261,600,20:22:41 PST,chandurohitheee won by checkmate,e4-e5,41,00:04:11,00:03:32,won
Live Chess,Chess.com,2022-12-26,-,chandurohitheee,tailasoy67,1-0,1224,1137,600,20:14:12 PST,chandurohitheee won by resignation,e4-d5,24,00:02:19,00:04:14,won
Live Chess,Chess.com,2022-12-26,-,GopiTiger,chandurohitheee,0-1,1139,1218,600,20:04:41 PST,chandurohitheee won - game abandoned,e4-e5,14,00:00:51,00:01:18,won
Live Chess,Chess.com,2022-12-26,-,pange07,chandurohitheee,1-0,1195,1218,600,1:36:42 PST,pange07 won by resignation,e4-e5,19,00:01:41,00:03:11,loss
Live Chess,Chess.com,2022-12-26,-,chandurohitheee,PoojaRS7,1-0,1227,1272,600,1:23:51 PST,chandurohitheee won by resignation,e4-e5,42,00:07:09,00:03:01,won
Live Chess,Chess.com,2022-12-26,-,chandurohitheee,mikealbelda,0-1,1218,1173,600,1:10:13 PST,mikealbelda won by resignation,e4-e5,39,00:05:01,00:05:01,loss
Live Chess,Chess.com,2022-12-26,-,chandurohitheee,mzks12,1-0,1210,1127,600,19:55:54 PST,chandurohitheee won by resignation,e4-d6,23,00:03:48,00:05:09,won
Live Chess,Chess.com,2022-12-26,-,chandurohitheee,sqzyx,1-0,1204,1128,600,19:44:13 PST,chandurohitheee won by resignation,e4-e5,10,00:00:48,00:02:06,won
Live Chess,Chess.com,2022-12-26,-,CAP1V,chandurohitheee,0-1,1259,1197,600,19:40:46 PST,chandurohitheee won by resignation,e4-e5,6,00:00:18,00:00:10,won
Live Chess,Chess.com,2022-12-26,-,chandurohitheee,saxtiagoclar,0-1,1187,1245,600,19:17:28 PST,saxtiagoclar won by checkmate,e4-e5,24,00:03:08,00:05:07,loss
Live Chess,Chess.com,2022-12-26,-,Duckdog1,chandurohitheee,1-0,1154,1194,600,16:08:32 PST,Duckdog1 won by checkmate,e4-e5,9,00:00:29,00:00:30,loss
Live Chess,Chess.com,2022-12-26,-,HenryJelbert,chandurohitheee,0-1,1281,1203,600,16:07:16 PST,chandurohitheee won by resignation,e4-e5,10,00:00:27,00:01:36,won
Live Chess,Chess.com,2022-12-26,-,Vikitam,chandurohitheee,0-1,1307,1227,600,0:59:05 PST,chandurohitheee won by resignation,g3-e5,22,00:01:43,00:01:45,won
Live Chess,Chess.com,2022-12-26,-,TheVikingGB,chandurohitheee,1-0,1185,1217,600,0:55:03 PST,TheVikingGB won by checkmate,e4-e5,16,00:01:31,00:01:58,loss
Live Chess,Chess.com,2022-12-25,-,King_Malbec,chandurohitheee,1-0,1213,1193,600,4:50:00 PST,King_Malbec won by resignation,e4-e5,17,00:01:59,00:01:29,loss
Live Chess,Chess.com,2022-12-25,-,chandurohitheee,HorenTheSly,1-0,1201,1115,600,4:14:25 PST,chandurohitheee won by resignation,e4-e5,39,00:04:45,00:04:38,won
Live Chess,Chess.com,2022-12-25,-,arjunarj,chandurohitheee,1-0,1192,1194,600,23:25:37 PST,arjunarj won by checkmate,e4-e5,30,00:03:16,00:02:49,loss
Live Chess,Chess.com,2022-12-25,-,chandurohitheee,AkshayRajemane,0-1,1202,1188,600,22:15:06 PST,AkshayRajemane won by resignation,e4-e5,19,00:02:12,00:03:26,loss
Live Chess,Chess.com,2022-12-25,-,AhmedAbosa,chandurohitheee,0-1,1191,1211,600,16:06:37 PST,chandurohitheee won by checkmate,e4-e5,14,00:01:04,00:01:13,won
Live Chess,Chess.com,2022-12-25,-,chandurohitheee,sairamchinta,1-0,1203,1227,600,16:03:32 PST,chandurohitheee won by checkmate,e4-e5,19,00:02:22,00:01:30,won
Live Chess,Chess.com,2022-12-25,-,chandurohitheee,Miguel_321,0-1,1194,1208,600,15:59:09 PST,Miguel_321 won by checkmate,e4-e5,33,00:04:38,00:02:57,loss
Live Chess,Chess.com,2022-12-25,-,chandurohitheee,Requinoa,1-0,1203,1188,600,15:50:41 PST,chandurohitheee won by resignation,e4-d5,25,00:02:40,00:01:24,won
Live Chess,Chess.com,2022-12-25,-,alimusag07,chandurohitheee,0-1,1177,1195,600,14:44:42 PST,chandurohitheee won by resignation,d4-e5,27,00:05:04,00:08:26,won
Live Chess,Chess.com,2022-12-25,-,chandurohitheee,Applechess123456789,1-0,1187,1153,600,14:30:39 PST,chandurohitheee won by resignation,e4-e5,34,00:05:25,00:03:51,won
Live Chess,Chess.com,2022-12-24,-,jivheshshekatkar,chandurohitheee,1-0,1155,1179,600,21:09:01 PST,jivheshshekatkar won by checkmate,e4-e5,27,00:02:51,00:03:34,loss
Live Chess,Chess.com,2022-12-22,-,chandurohitheee,Ransak17,0-1,1188,1120,600,7:52:34 PST,Ransak17 won by checkmate,e4-d5,21,00:02:30,00:02:30,loss
Live Chess,Chess.com,2022-12-22,-,Jmurrayyy1,chandurohitheee,1-0,1193,1198,600,19:04:12 PST,Jmurrayyy1 won by checkmate,e4-e5,60,00:08:36,00:05:57,loss
Live Chess,Chess.com,2022-12-22,-,GeneralKhanna94,chandurohitheee,0-1,1136,1206,600,18:48:16 PST,chandurohitheee won by resignation,e4-e5,21,00:03:41,00:02:34,won
Live Chess,Chess.com,2022-12-22,-,JoshuaMaximo,chandurohitheee,0-1,1129,1199,600,18:41:24 PST,chandurohitheee won by resignation,e4-e5,25,00:02:34,00:04:30,won
Live Chess,Chess.com,2022-12-22,-,chandurohitheee,luisignacioviejo,0-1,1191,1149,600,16:21:37 PST,luisignacioviejo won by checkmate,e4-d6,21,00:01:39,00:01:43,loss
Live Chess,Chess.com,2022-12-22,-,Cobaya24,chandurohitheee,0-1,1106,1201,600,15:57:37 PST,chandurohitheee won by checkmate,e4-e5,32,00:04:54,00:03:36,won
Live Chess,Chess.com,2022-12-22,-,allMyFriend,chandurohitheee,0-1,1018,1195,600,15:48:27 PST,chandurohitheee won by checkmate,e4-e5,10,00:02:04,00:00:35,won
Live Chess,Chess.com,2022-12-22,-,chandurohitheee,juanfrazier,0-1,1187,1133,600,15:32:23 PST,juanfrazier won by resignation,e4-e5,40,00:04:48,00:02:22,loss
Live Chess,Chess.com,2022-12-22,-,chandurohitheee,Ah-273,0-1,1197,1258,600,15:24:30 PST,Ah-273 won by checkmate,e4-d5,31,00:03:28,00:05:24,loss
Live Chess,Chess.com,2022-12-21,-,chandurohitheee,jambeth10,0-1,1204,1179,600,2:12:09 PST,jambeth10 won by checkmate,e4-d5,14,00:01:00,00:01:02,loss
Live Chess,Chess.com,2022-12-21,-,SESOIASOLE,chandurohitheee,1/2-1/2,1182,1213,600,20:43:53 PST,Game drawn by stalemate,Nf3-Nc6,64,00:08:43,00:09:49,draw
Live Chess,Chess.com,2022-12-21,-,chandurohitheee,danielomarc748,0-1,1214,1221,600,16:53:35 PST,danielomarc748 won by resignation,e4-e5,60,00:07:14,00:07:44,loss
Live Chess,Chess.com,2022-12-21,-,Maugli106257,chandurohitheee,0-1,1268,1222,600,16:27:30 PST,chandurohitheee won by resignation,d4-e5,19,00:01:39,00:01:23,won
Live Chess,Chess.com,2022-12-21,-,YatoroTS,chandurohitheee,0-1,1146,1213,600,16:24:00 PST,chandurohitheee won by resignation,e4-d5,30,00:02:54,00:02:28,won
Live Chess,Chess.com,2022-12-21,-,chandurohitheee,JoseAlejandroZ,0-1,1206,1275,600,16:17:37 PST,JoseAlejandroZ won by checkmate,e4-c5,18,00:01:55,00:01:05,loss
Live Chess,Chess.com,2022-12-21,-,chandurohitheee,nikolalokin9,1-0,1213,1278,600,16:14:13 PST,chandurohitheee won by checkmate,e4-e5,33,00:03:16,00:03:22,won
Live Chess,Chess.com,2022-12-21,-,chandurohitheee,AHMADHATAMLEH1981,0-1,1203,1258,600,13:23:05 PST,AHMADHATAMLEH1981 won by resignation,e4-e5,1,00:00,00:00:00,loss
Live Chess,Chess.com,2022-12-21,-,najimeking,chandurohitheee,1/2-1/2,1136,1210,600,13:22:30 PST,Game drawn by stalemate,e4-e5,47,00:03:52,00:02:42,draw
Live Chess,Chess.com,2022-12-21,-,tioesmalo,chandurohitheee,0-1,1111,1212,600,13:15:05 PST,chandurohitheee won by resignation,e4-e5,44,00:07:54,00:07:37,won
Live Chess,Chess.com,2022-12-20,-,GeraldoOlimpio,chandurohitheee,1-0,1137,1206,600,9:18:31 PST,GeraldoOlimpio won by resignation,e4-e5,25,00:05:52,00:04:28,loss
Live Chess,Chess.com,2022-12-20,-,chandurohitheee,Paradox1x,1-0,1216,1136,600,9:07:41 PST,chandurohitheee won by resignation,e4-d5,37,00:01:29,00:03:21,won
Live Chess,Chess.com,2022-12-20,-,ankitsp,chandurohitheee,0-1,1186,1209,600,8:35:05 PST,chandurohitheee won - game abandoned,e4-e5,25,00:03:14,00:04:08,won
Live Chess,Chess.com,2022-12-20,-,LaSamaritaine,chandurohitheee,1-0,1145,1201,600,8:24:32 PST,LaSamaritaine won by checkmate,e4-e5,17,00:02:13,00:02:20,loss
Live Chess,Chess.com,2022-12-20,-,alphamimic0,chandurohitheee,1-0,1225,1211,600,7:15:17 PST,alphamimic0 won by checkmate,d4-Nc6,43,00:06:03,00:04:13,loss
Live Chess,Chess.com,2022-12-20,-,chandurohitheee,Snpwale,0-1,1219,1179,600,6:02:48 PST,Snpwale won by checkmate,e4-e5,27,00:03:22,00:05:08,loss
Live Chess,Chess.com,2022-12-19,-,chandurohitheee,alwinu,1-0,1229,1252,600,18:24:35 PST,chandurohitheee won on time,e4-d5,76,00:09:49,00:09:59,won
Live Chess,Chess.com,2022-12-19,-,chandurohitheee,Ricardojaba55,0-1,1219,1287,600,17:32:07 PST,Ricardojaba55 won by checkmate,e4-e5,62,00:06:55,00:05:07,loss
Live Chess,Chess.com,2022-12-19,-,brocollirob2,chandurohitheee,0-1,1327,1227,600,17:19:04 PST,chandurohitheee won - game abandoned,e4-e5,35,00:04:05,00:04:18,won
Live Chess,Chess.com,2022-12-19,-,chandurohitheee,gatemode,0-1,1215,1196,600,17:09:11 PST,gatemode won by checkmate,e4-d6,33,00:03:03,00:02:37,loss
Live Chess,Chess.com,2022-12-19,-,chandurohitheee,cobrajock,0-1,1225,1332,600,16:34:41 PST,cobrajock won by resignation,e4-e6,15,00:01:19,00:01:26,loss
Live Chess,Chess.com,2022-12-19,-,georgiosdimopoulos,chandurohitheee,1-0,1165,1232,600,16:31:35 PST,georgiosdimopoulos won by checkmate,e4-e5,24,00:02:10,00:03:39,loss
Live Chess,Chess.com,2022-12-19,-,chandurohitheee,megaman2007,0-1,1244,1280,600,14:22:15 PST,megaman2007 won by checkmate,e4-c5,15,00:01:34,00:01:07,loss
Live Chess,Chess.com,2022-12-19,-,FarmerSam35,chandurohitheee,0-1,1118,1254,600,14:19:11 PST,chandurohitheee won by checkmate,e4-e5,87,00:09:39,00:06:56,won
Live Chess,Chess.com,2022-12-19,-,chandurohitheee,10minutespeace,1-0,1246,1151,600,14:00:50 PST,chandurohitheee won by resignation,e4-c5,38,00:02:21,00:01:53,won
Live Chess,Chess.com,2022-12-19,-,segol888,chandurohitheee,1-0,1332,1238,600,13:55:46 PST,segol888 won by checkmate,c4-e5,28,00:05:33,00:05:42,loss
Live Chess,Chess.com,2022-12-19,-,oeced,chandurohitheee,0-1,1198,1247,600,13:45:15 PST,chandurohitheee won on time,e4-e5,47,00:05:19,00:09:59,won
Live Chess,Chess.com,2022-12-18,-,chandurohitheee,Igorevich81,1-0,1237,1163,600,9:05:17 PST,chandurohitheee won by resignation,e4-e5,34,00:03:19,00:02:44,won
Live Chess,Chess.com,2022-12-18,-,chandurohitheee,DeepBar2008,1-0,1227,1191,600,8:56:20 PST,chandurohitheee won by checkmate,e4-e5,59,00:08:03,00:08:16,won
Live Chess,Chess.com,2022-12-18,-,bizzoka13pp,chandurohitheee,1-0,1290,1216,600,8:37:50 PST,bizzoka13pp won by resignation,e4-e5,16,00:00:41,00:00:43,loss
Live Chess,Chess.com,2022-12-18,-,muratarslann,chandurohitheee,0-1,1236,1226,600,7:48:34 PST,chandurohitheee won - game abandoned,e4-e5,41,00:07:08,00:03:11,won
Live Chess,Chess.com,2022-12-18,-,chandurohitheee,RockPLV,0-1,1212,1161,600,15:30:14 PST,RockPLV won by checkmate,e4-e5,34,00:09:09,00:03:45,loss
Live Chess,Chess.com,2022-12-18,-,rudy6106rv,chandurohitheee,0-1,1189,1228,600,15:16:24 PST,chandurohitheee won by checkmate,c4-e5,43,00:07:58,00:07:15,won
Live Chess,Chess.com,2022-12-18,-,idkanamex,chandurohitheee,1-0,1230,1215,600,15:00:21 PST,idkanamex won by checkmate,e4-e5,39,00:06:55,00:05:31,loss
Live Chess,Chess.com,2022-12-16,-,chandurohitheee,GetReadyToGetBumped,0-1,1230,1215,600,6:50:15 PST,GetReadyToGetBumped won by checkmate,e4-d5,31,00:04:38,00:04:37,loss
Live Chess,Chess.com,2022-12-16,-,chandurohitheee,GeorgiouJ,1-0,1263,1249,600,13:33:06 PST,chandurohitheee won by resignation,e4-e6,38,00:05:09,00:04:29,won
Live Chess,Chess.com,2022-12-16,-,SamGile,chandurohitheee,0-1,1186,1246,600,13:22:40 PST,chandurohitheee won by resignation,e4-e5,23,00:04:27,00:04:21,won
Live Chess,Chess.com,2022-12-16,-,chandurohitheee,PhaulPhaulPhaul,0-1,1247,1274,600,0:43:33 PST,PhaulPhaulPhaul won by resignation,e4-g6,24,00:02:33,00:03:34,loss
Live Chess,Chess.com,2022-12-15,-,chandurohitheee,8teenDelta,1-0,1231,1149,600,9:40:48 PST,chandurohitheee won by checkmate,e4-d6,33,00:03:27,00:05:37,won
Live Chess,Chess.com,2022-12-15,-,chandurohitheee,077999696055255110,0-1,1216,1218,600,1:32:50 PST,077999696055255110 won by resignation,e4-d5,16,00:01:18,00:01:16,loss
Live Chess,Chess.com,2022-12-15,-,Joao7983,chandurohitheee,1-0,1260,1236,600,1:26:23 PST,Joao7983 won by checkmate,d4-e6,48,00:07:07,00:04:36,loss
Live Chess,Chess.com,2022-12-15,-,Vovs-K,chandurohitheee,0-1,1206,1256,600,1:13:11 PST,chandurohitheee won on time,e4-e5,33,00:04:05,00:04:08,won
Live Chess,Chess.com,2022-12-15,-,alain19650907,chandurohitheee,0-1,1138,1265,600,11:01:37 PST,chandurohitheee won - game abandoned,e4-e5,7,00:00:44,00:00:29,won
Live Chess,Chess.com,2022-12-15,-,namazovvusal,chandurohitheee,1/2-1/2,1196,1247,600,10:58:38 PST,Game drawn by repetition,e4-e5,32,00:05:11,00:05:24,draw
Live Chess,Chess.com,2022-12-15,-,chandurohitheee,msdc,0-1,1251,1291,600,10:47:01 PST,msdc won by checkmate,e4-e5,29,00:03:07,00:04:15,loss
Live Chess,Chess.com,2022-12-15,-,chandurohitheee,Markalus76,0-1,1278,1281,600,10:39:01 PST,Markalus76 won by resignation,e4-c5,12,00:01:38,00:01:34,loss
Live Chess,Chess.com,2022-12-15,-,chandurohitheee,poniran33,1-0,1310,1304,600,10:35:16 PST,chandurohitheee won by resignation,e4-e5,28,00:02:25,00:03:29,won
Live Chess,Chess.com,2022-12-15,-,chandurohitheee,kalMADo_23,0-1,1236,1176,600,0:58:18 PST,kalMADo_23 won by checkmate,e4-e5,25,00:03:49,00:05:47,loss
Live Chess,Chess.com,2022-12-14,-,eu1453,chandurohitheee,1-0,1448,1316,600,9:30:52 PST,eu1453 won by checkmate,e4-e5,54,00:07:40,00:05:40,loss
Live Chess,Chess.com,2022-12-14,-,chandurohitheee,mujobecirovic,1-0,1344,1314,600,9:16:42 PST,chandurohitheee won by resignation,e4-e5,33,00:05:50,00:08:53,won
Live Chess,Chess.com,2022-12-14,-,SAMTEC1969,chandurohitheee,1-0,1353,1297,600,9:01:19 PST,SAMTEC1969 won by checkmate,e4-e5,25,00:03:03,00:03:10,loss
Live Chess,Chess.com,2022-12-14,-,AdjieAnggoro82,chandurohitheee,1-0,1398,1347,600,8:54:38 PST,AdjieAnggoro82 won by checkmate,e4-e5,7,00:00:16,00:00:14,loss
Live Chess,Chess.com,2022-12-14,-,Luis28g,chandurohitheee,1-0,1515,1407,600,8:53:51 PST,Luis28g won by checkmate,e4-e5,14,00:01:29,00:01:51,loss
Live Chess,Chess.com,2022-12-14,-,chandurohitheee,mumtazraaz,1-0,1468,1392,600,8:48:14 PST,chandurohitheee won by resignation,e4-e6,49,00:05:55,00:05:57,won
Live Chess,Chess.com,2022-12-14,-,diegolorrai,chandurohitheee,0-1,1264,1375,600,8:33:12 PST,chandurohitheee won by checkmate,e4-e5,32,00:03:07,00:05:45,won
Live Chess,Chess.com,2022-12-14,-,chandurohitheee,AhmetSafa1907,1-0,1256,1031,600,8:08:34 PST,chandurohitheee won by checkmate,e4-b6,32,00:08:48,00:05:47,won
Live Chess,Chess.com,2022-12-14,-,riteshraj94726,chandurohitheee,1-0,1270,1275,600,10:28:20 PST,riteshraj94726 won by checkmate,d4-d5,42,00:05:41,00:08:32,loss
